artist,ID,genre,Location,Start,End,Hotttnesss,Discovery,Familiarity
The Ark,ARW4QRP1187FB4D4CF,pop,"Vaxjo, Sweden",1991,2011,0.4936,0.545324,0.4582116528918536
Kirsty MacColl,AREDTBT1187B9A486D,pop,"Croydon, London, England, GB",1979,2000,0.559974,0.538398,0.4099839523331108
박정현,ARBZTKL1187FB54420,pop,Los Angeles California,1993,9999,0.346115,0.531995,0.5092419792732769
La buena vida,AR6XTOU1187FB585F1,pop,"San Sebastián, Basque Country, ES",1988,9999,0.419217,0.558174,0.520440489757683
Tasmin Archer,AR3BS8T1187FB4CD64,pop,"Bradford, England, GB",1992,9999,0.426037,0.528569,0.48824130026504875
Brolle,AR7QDZW119B3403B7A,pop,"Boden, Norrbotten, SE",2001,9999,0.363969,0.522344,0.5000037451884333
Die Prinzen,AR7K8671187FB49531,pop,"Leipzig, Saxony, DE",1987,9999,0.41712,0.521937,0.48805472608875405
Looking Glass,AR82TX41187B9AF3E6,pop,"Sacramento, CA, US",1969,1974,0.509331,0.521923,0.42869459577282854
Sonohra,ARSBVH6119B866850C,pop,"Verona, Veneto, IT",2003,9999,0.449658,0.520598,0.46542392477735417
Miami Sound Machine,ARC9TVL1187FB5A112,pop,"Miami, FL, US",1977,9999,0.513851,0.531155,0.4334113942171703
Paul Carrack,ARYNX5Z1187B999686,pop,sheffield uk,1969,9999,0.532153,0.531425,0.42208135371221067
The New Amsterdams,AR240HI1187FB4B60F,pop,"Lawrence, KS",2000,9999,0.475792,0.530811,0.45747609524222355
Manitu,ARYD6OB1187FB38E1B,pop,"Colorado Springs, CO, US",9999,9999,0.363515,0.530164,0.5074892897479065
X-Perience,AR9TMXT1187B99AEDC,pop,"Berlin, Berlin, DE",1995,9999,0.468012,0.529407,0.46130198522221655
Blue System,ARXRFOO1187B9BA37C,pop,Germany,1987,1998,0.41661,0.533953,0.49963986750518713
Patty Pravo,AR7LPI31187B9ADB6A,pop,"Venice, Veneto, IT",1966,9999,0.443816,0.529711,0.4774295606992552
Amanda Marshall,ARK8H4H1187B9ACB0E,pop,"Toronto, Ontario, CA",1995,9999,0.479331,0.529351,0.4539362755221724
Moto Boy,ARELV6E1187B9B5A28,pop,"Rome, Lazio, IT",2007,9999,0.396167,0.527533,0.5049708156128715
Petr Muk,ARYE8YC1187FB55A16,pop,"Český Krumlov, South Bohemian Region, CZ",1989,2010,0.366745,0.530517,0.5078271922069212
Donna De Lory,ARFGNIF1187FB457B7,pop,"Los Angeles, CA",1993,9999,0.450755,0.521007,0.4650790294520247
Andy Bell,ARP44BC1187FB4CF87,pop,"Oxford, England, GB",1985,9999,0.514702,0.518002,0.4221532569184899
B5,ARPSIDD1187B9B28E3,pop,"St. Petersburg, FL, US",2001,2014,0.546167,0.517565,0.40251469255686945
Club Nouveau,AR27AJK1187B9B3425,pop,"Sacramento, CA, US",1986,9999,0.424773,0.516802,0.47820255410770895
김범수,ARROVUL125FEF32304,pop,South Korea,1999,9999,0.366771,0.519932,0.49769490459029386
Paradiso Girls,ARJCFLJ122BCFCC13C,pop,Europe,2007,2010,0.430069,0.518472,0.4762637673538225
Peter & Gordon,ARGS47D1187FB40225,pop,"London, England, GB",2005,2009,0.513301,0.5198,0.42448691692405544
Crystal Gayle,ARIF5S61187FB57967,pop,"Paintsville, KY, US",1970,9999,0.437055,0.519798,0.4729008489485704
KAREN HARDING,ARUBNYT12509414E68,pop,"Consett, County Durham",2010,9999,0.416509,0.518071,0.4848455988568308
Persephone's Bees,ARS2MGF1187FB45226,pop,"San Francisco, CA, US",1999,9999,0.389363,0.483247,0.46257889408335273
Gia Farrell,AR4R8SG1187FB54591,pop,"Suffern, NY, US",2011,9999,0.363819,0.482055,0.4614378750149522
Isgaard,ARAIA7U1187B996DBA,pop,"Hamburg, Hamburg, DE",2003,9999,0.326993,0.481565,0.46096883194153254
Helen Love,ARWSMC91187B9AD369,pop,"Cardiff, Wales, GB",1992,9999,0.443955,0.480744,0.43321198610461903
The Poppy Family,ARRKT3B1187B9A82DA,pop,"Vancouver, British Columbia, CA",1968,1973,0.367438,0.481022,0.46044905563772254
Bent Fabric,AR0820G1187B98B7A4,pop,"Woodland Hills, Los Angeles, CA, US",1950,9999,0.346392,0.479841,0.45931856610770494
Adrian Stern,AR7PXEK1187FB43ED5,pop,"Baden, Canton of Aargau, CH",2000,9999,0.376127,0.486355,0.46555396729190046
Antonella Ruggiero,ARZYBUG1187B992CB6,pop,"Milan, Lombardy, IT",1974,9999,0.347313,0.485969,0.4651844762177372
Allison Crowe,ARI6TGS1187FB39A5B,pop,"Nanaimo, British Columbia, CA",1996,9999,0.471936,0.484631,0.41995783007591964
Heidi Happy,ARE1WYF1187FB4C406,pop,"Luzern, Canton of Lucerne, CH",2006,9999,0.372009,0.483199,0.46253294700677283
Cameron Cartio,ARQFVLS1187B99DDE6,pop,Sweden,2005,9999,0.383274,0.479796,0.45927549072341123
이수영,AR1WZI71187FB409FE,pop,South Korea,1999,9999,0.3409,0.479053,0.4585642682671851
Marilyn,ARXDDZM1187FB469AB,pop,"London, UK",2000,2003,0.409177,0.468521,0.44289670865934144
Hania Stach,ARWRCMJ122988F7DCE,pop,"Warsaw, Masovian, PL",2000,9999,0.369189,0.468501,0.44846356926570646
Lisa Scott-Lee,ARX6G8X1187B9B15CA,pop,"St. Asaph, Wales, GB",1997,9999,0.393927,0.467453,0.4474603914270456
Melanie Doane,AR9SS8N1187B9B1C3A,pop,"Halifax, Nova Scotia, CA",1967,9999,0.386507,0.464238,0.4443828945269552
Daniele Groff,AR414JO1187B99C1AD,pop,Italy,2000,2010,0.37644,0.462892,0.44309446192119417
Don Juan Dracula,ARCNJ4U1187B9A9D24,pop,Norway,2000,2010,0.324724,0.466874,0.44690615481580065
